ModelYear,MfrName,Division,Carline,VerifyMfrCd,INDEX,EngDispl,# Cyl,CityFE,HwyFE,CombFE,Guzzler,Trans,Automatic,US
2015,BMW,BMW,Z4 sDrive28i,BMX,428,2,4,22,33,26,0,SA,1,International
2015,BMW,BMW,Z4 sDrive28i,BMX,429,2,4,22,34,26,0,M,0,International
2015,BMW,BMW,Z4 sDrive35i,BMX,436,3,6,17,24,20,0,AMS,1,International
2015,BMW,BMW,Z4 sDrive35i,BMX,435,3,6,19,26,21,0,M,0,International
2015,BMW,BMW,Z4 sDrive35is,BMX,438,3,6,17,24,20,0,AMS,1,International
2015,BMW,Mini,Mini Cooper Coupe,BMX,40,1.6,4,28,36,31,0,SA,1,International
2015,BMW,Mini,Mini Cooper Coupe,BMX,41,1.6,4,29,37,32,0,M,0,International
2015,BMW,Mini,Mini Cooper Roadster,BMX,30,1.6,4,26,34,29,0,SA,1,International
2015,BMW,Mini,Mini Cooper Roadster,BMX,31,1.6,4,27,34,30,0,M,0,International
2015,BMW,Mini,Mini Cooper S Coupe,BMX,52,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini Cooper S Coupe,BMX,53,1.6,4,26,35,29,0,M,0,International
2015,BMW,Mini,Mini Cooper S Roadster,BMX,50,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini Cooper S Roadster,BMX,51,1.6,4,26,35,29,0,M,0,International
2015,BMW,Mini,Mini John Cooper Works Coupe,BMX,70,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini John Cooper Works Coupe,BMX,71,1.6,4,26,35,29,0,M,0,International
2015,BMW,Mini,Mini John Cooper Works Roadster,BMX,72,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini John Cooper Works Roadster,BMX,73,1.6,4,26,35,29,0,M,0,International
2015,BMW,Mini,Mini Cooper Convertible,BMX,36,1.6,4,26,34,29,0,SA,1,International
2015,BMW,Mini,Mini Cooper Convertible,BMX,37,1.6,4,27,34,30,0,M,0,International
2015,BMW,Mini,Mini Cooper S Convertible,BMX,58,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini Cooper S Convertible,BMX,59,1.6,4,26,35,29,0,M,0,International
2015,BMW,Mini,Mini John Cooper Works Conv.,BMX,78,1.6,4,25,34,28,0,SA,1,International
2015,BMW,Mini,Mini John Cooper Works Conv.,BMX,79,1.6,4,26,35,29,0,M,0,International
2015,BMW,BMW,228i,BMX,200,2,4,23,36,28,0,SA,1,International
2015,BMW,BMW,228i,BMX,201,2,4,22,34,26,0,M,0,International
2015,BMW,BMW,228i xDrive,BMX,202,2,4,23,35,27,0,SA,1,International
2015,BMW,BMW,428i Convertible,BMX,404,2,4,23,34,27,0,SA,1,International
2015,BMW,BMW,428i xDrive Convertible,BMX,406,2,4,21,33,25,0,SA,1,International
2015,BMW,BMW,435i Convertible,BMX,414,3,6,20,31,24,0,SA,1,International
2015,BMW,BMW,435i xDrive Convertible,BMX,416,3,6,20,29,23,0,SA,1,International
2015,BMW,BMW,640i Convertible,BMX,641,3,6,20,31,24,0,SA,1,International
2015,BMW,BMW,640i Coupe,BMX,640,3,6,21,32,25,0,SA,1,International
2015,BMW,BMW,640i xDrive Convertible,BMX,645,3,6,20,29,23,0,SA,1,International
2015,BMW,BMW,640i xDrive Coupe,BMX,643,3,6,20,29,23,0,SA,1,International
2015,BMW,BMW,650i Convertible,BMX,654,4.4,8,17,25,20,0,SA,1,International
2015,BMW,BMW,650i Coupe,BMX,650,4.4,8,17,25,20,0,SA,1,International
2015,BMW,BMW,650i xDrive Convertible,BMX,656,4.4,8,16,24,19,0,SA,1,International
2015,BMW,BMW,650i xDrive Coupe,BMX,652,4.4,8,16,25,19,0,SA,1,International
2015,BMW,BMW,M235i,BMX,235,3,6,21,32,25,0,SA,1,International
2015,BMW,BMW,M235i,BMX,236,3,6,19,28,22,0,M,0,International
2015,BMW,BMW,M235i xDrive,BMX,237,3,6,20,30,24,0,SA,1,International
2015,BMW,BMW,M4 Convertible,BMX,483,3,6,17,24,19,0,AMS,1,International
2015,BMW,BMW,M4 Convertible,BMX,482,3,6,17,26,20,0,M,0,International
2015,BMW,BMW,M6 Convertible,BMX,663,4.4,8,14,20,16,1,AMS,1,International
2015,BMW,BMW,M6 Convertible,BMX,662,4.4,8,15,22,17,1,M,0,International
2015,BMW,BMW,M6 Coupe,BMX,661,4.4,8,14,20,16,1,AMS,1,International
2015,BMW,BMW,M6 Coupe,BMX,660,4.4,8,15,22,17,1,M,0,International
2015,BMW,Mini,Mini Cooper (3-doors),BMX,32,1.5,3,28,37,31,0,SA,1,International
2015,BMW,Mini,Mini Cooper (3-doors),BMX,33,1.5,3,29,40,33,0,M,0,International
2015,BMW,Mini,Mini Cooper (5-doors),BMX,34,1.5,3,28,37,31,0,SA,1,International
2015,BMW,Mini,Mini Cooper (5-doors),BMX,35,1.5,3,29,40,33,0,M,0,International
2015,BMW,Mini,Mini Cooper S (3-doors),BMX,54,2,4,26,33,29,0,SA,1,International
2015,BMW,Mini,Mini Cooper S (3-doors),BMX,55,2,4,24,34,27,0,M,0,International
2015,BMW,Mini,Mini Cooper S (5-doors),BMX,56,2,4,26,33,29,0,SA,1,International
2015,BMW,Mini,Mini Cooper S (5-doors),BMX,57,2,4,24,34,27,0,M,0,International
2015,BMW,BMW,320i,BMX,320,2,4,24,36,28,0,SA,1,International
2015,BMW,BMW,320i,BMX,321,2,4,23,36,27,0,M,0,International
2015,BMW,BMW,320i xDrive,BMX,322,2,4,23,35,27,0,SA,1,International
2015,BMW,BMW,328d,BMX,345,2,4,32,45,37,0,SA,1,International
2015,BMW,BMW,328d xDrive,BMX,346,2,4,31,43,35,0,SA,1,International
